"Data compiled by Iraq Body Count as of Tuesday, 6th March 2012"
"The reports from which this table is compiled have all been in the public domain."
"This specific compilation is copyrighted to Iraq Body Count (IBC)."
"Permission to use it for commercial use must be obtained from admin AT iraqbodycount.org"
""
"For a detailed explanation of these figures and how they were derived, see"
"http://www.iraqbodycount.org/about/"
""
"This table is constantly being updated. The latest version of this file can always be"
"obtained from http://www.iraqbodycount.org/database/download/ibc-incidents.php"

"IBC code","Start Date","End Date","Time","Location","Target","Weapons","Reported Minimum","Reported Maximum","Sources"
"d3231","3 Jun 2007","3 Jun 2007","","Fadhil, Baghdad","","gunfire","2","2","NCTC 03 Jun, GUA 04 Jun"
"d3232","3 Jun 2007","3 Jun 2007","","Al-Muharibeen district, north of Mosul","civilian driving near Al-Muharibeen Clinic","gunfire","1","1","MO 03 Jun, NCTC 03 Jun, GUA 04 Jun"
"d3233","3 Jun 2007","3 Jun 2007","","Mosul","teenager forced out of a car and shot in front of Thiyab Al-Iraqi Mosque","gunfire","1","1","MO 03 Jun, NCTC 03 Jun, GUA 04 Jun"
"d3234","3 Jun 2007","3 Jun 2007","","Al-Qadissiya district, east of Mosul","civilian near Imam Ali Bin Taleb Mosque","gunfire","1","1","MO 03 Jun, NCTC 03 Jun, GUA 04 Jun"
"d3235","3 Jun 2007","3 Jun 2007","","Baquba","civilians in a market","gunfire","2","2","CNN 03 Jun, GUA 04 Jun"
"d3236","3 Jun 2007","3 Jun 2007","8:00 PM","Kirkuk","resident of Tuz district and his son","gunfire","1","1","McCla 04 Jun, GUA 04 Jun"
"d3237","3 Jun 2007","3 Jun 2007","","Mosul","bodies found, including some policemen","gunfire, tortured, executed","9","9","KUNA 03 Jun, GUA 04 Jun"
"d3238","3 Jun 2007","3 Jun 2007","","Fallujah","bodies found in an industrial area","gunfire, tortured, executed","8","8","AP 03 Jun, NINA 05 Jun"
"d3239","2 Jun 2007","3 Jun 2007","","Habibiya district, Sadr City, Baghdad","homes hit","US air strikes","1","5","CNN 03 Jun, WP 05 Sep (MoH)"
"d3529","3 Jun 2007","3 Jun 2007","","central Kirkuk","'gunmen in a car opened fire on a crowd of people'","drive-by shooting","2","2","REU 03 Jun, NCTC 03 Jun, WP 05 Sep (MoH)"
"d3563","3 Jun 2007","3 Jun 2007","","Baiyaa, western Baghdad","policeman and a relative, while driving","gunfire","2","2","AP 03 Jun, NCTC 03 Jun, WP 05 Sep (MoH)"
"k6618a","3 Jun 2007","3 Jun 2007","-","Shuala, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","4","4","NINA 03 Jun, AP 03 Jun"
"k6618b","3 Jun 2007","3 Jun 2007","-","Dora, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","5","5","NINA 03 Jun, AP 03 Jun"
"k6618c","3 Jun 2007","3 Jun 2007","-","Amil, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","9","9","NINA 03 Jun, AP 03 Jun"
"k6618d","3 Jun 2007","3 Jun 2007","-","Mansour, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","3","3","NINA 03 Jun, AP 03 Jun"
"k6618e","3 Jun 2007","3 Jun 2007","-","Al Bayaa, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","1","1","NINA 03 Jun, AP 03 Jun"
"k6618f","3 Jun 2007","3 Jun 2007","-","Yarmouk, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","1","1","NINA 03 Jun, AP 03 Jun"
"k6618g","3 Jun 2007","3 Jun 2007","-","Sadr City, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","2","2","NINA 03 Jun, AP 03 Jun"
"k6618h","3 Jun 2007","3 Jun 2007","-","Rashad, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","1","1","NINA 03 Jun, AP 03 Jun"
"k6618i","3 Jun 2007","3 Jun 2007","-","Shaab, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","2","2","NINA 03 Jun, AP 03 Jun"
"k6618j","3 Jun 2007","3 Jun 2007","-","Adhamiyah, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","2","2","NINA 03 Jun, AP 03 Jun"
"k6618k","3 Jun 2007","3 Jun 2007","-","Hurriya, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","1","1","NINA 03 Jun, AP 03 Jun"
"d5405","3 Jun 2007","3 Jun 2007","7:55 AM","RTE Tampa, near Camp Taji","van that did not pull over for a convoy to pass, driver injured and died of wounds at Taji Clinic","US gunfire","1","1","US DoD via ACLU Mar 2010, US DoD via WikiLeaks 22 Oct 2010"
"k6606","2 Jun 2007","2 Jun 2007","1:30- 7:00 AM","Fadhil, Baghdad","residential area","mortar rounds","8","8","LAT 03 Jun, AP 02 Jun"
"k6607","2 Jun 2007","2 Jun 2007","PM","Muqdadiya","-","car bomb","1","1","VOI 02 Jun, Al-Shar 03 Jun"
"k6609","2 Jun 2007","2 Jun 2007","12:00 PM or 6:15 PM","Ghazaliya, Baghdad","Ali Khadr Abbas al-Zanad, Sunni imam of Al-Siddeq mosque","drive-by shooting","1","1","McCla 02 Jun , AP 02 Jun"
"k6610","2 Jun 2007","2 Jun 2007","12:00 PM","Al-Karama, Mosul","policeman Ghazwan Ghanim","gunfire","1","1","NINA 02 Jun, AFP 02 Jun"
"k6611","2 Jun 2007","2 Jun 2007","-","Mosul","-","gunfire","6","6","REU 03 Jun, AFP 02 Jun"
"k6612","1 Jun 2007","2 Jun 2007","-","Sulaiman Bek","Sunni Jboor tribal chief Rokan Mutlak al-Jibouri","gunfire, executed, tortured","1","1","McCla 02 Jun, KUNA 02 Jun"
"k6613","2 Jun 2007","2 Jun 2007","-","near Kirkuk","clashes between Sunni tribes","gunfire","2","2","REU 03 Jun, AP 02 Jun"
"k6614","31 May 2007","2 Jun 2007","-","near Baquba","kidnapped teacher and policeman","gunfire, executed","2","2","McCla 02 Jun, NYT 03 Jun"
"d3227","2 Jun 2007","2 Jun 2007","PM","Arsa neighbourhood, Muqdadiya","homes hit, woman killed","mortar shells","1","1","NINA 02 Jun, AP 02 Jun"
"d3228","2 Jun 2007","2 Jun 2007","AM","Khalis","bodies brought to Khalis hospital","","2","2","McCla 02 Jun, AP 02 Jun"
"d3229","2 Jun 2007","2 Jun 2007","","western Baghdad","three shot in two separate incidents, 'including two who were in a pickup truck loaded with flour'","gunfire","3","3","AP 02 Jun, NCTC 02 Jun, WP 05 Sep (MoH)"
"k6608a","2 Jun 2007","2 Jun 2007","-","Ghazaliyah, Baghdad","bodies found shot dead","gunfire, executed","6","6","McCla 02 Jun, REU 03 Jun"
"k6608b","2 Jun 2007","2 Jun 2007","-","Amil, Baghdad","bodies found shot dead","gunfire, executed","3","3","McCla 02 Jun, REU 03 Jun"
"k6608c","2 Jun 2007","2 Jun 2007","-","Jihad, Baghdad","bodies found shot dead","gunfire, executed","2","2","McCla 02 Jun, REU 03 Jun"
"k6608d","2 Jun 2007","2 Jun 2007","-","Hurriyah, Baghdad","bodies found shot dead","gunfire, executed","2","2","McCla 02 Jun, REU 03 Jun"
"k6608e","2 Jun 2007","2 Jun 2007","-","Yarmouk, Baghdad","bodies found shot dead","gunfire, executed","2","2","McCla 02 Jun, REU 03 Jun"
"k6608f","2 Jun 2007","2 Jun 2007","-","Bayaa, Baghdad","bodies found bound and shot dead","gunfire, tortured, executed","2","2","McCla 02 Jun, AP 02 Jun"
"k6608g","2 Jun 2007","2 Jun 2007","-","Al Jami'a, Baghdad","bodies found shot dead","gunfire, executed","1","1","McCla 02 Jun, REU 03 Jun"
"k6608h","2 Jun 2007","2 Jun 2007","-","Sadr City, Baghdad","bodies found shot dead","gunfire, executed","2","2","McCla 02 Jun, REU 03 Jun"
"k6608i","2 Jun 2007","2 Jun 2007","-","Sileikh, Baghdad","bodies found shot dead","gunfire, executed","2","2","McCla 02 Jun, REU 03 Jun"
"k6608j","2 Jun 2007","2 Jun 2007","-","Rashdiyah, Baghdad","bodies found shot dead","gunfire, executed","1","1","McCla 02 Jun, REU 03 Jun"
"k6608k","2 Jun 2007","2 Jun 2007","-","Al Jadida, Baghdad","bodies found shot dead","gunfire, executed","1","1","McCla 02 Jun, REU 03 Jun"
"k6608l","2 Jun 2007","2 Jun 2007","-","Fadhil, Baghdad","bodies found shot dead","gunfire, executed","1","1","McCla 02 Jun, REU 03 Jun"
"k6608m","2 Jun 2007","2 Jun 2007","-","Adhemiyah, Baghdad","bodies found shot dead","gunfire, executed","1","1","McCla 02 Jun, REU 03 Jun"
"d4523","2 Jun 2007","2 Jun 2007","3:00 PM","Highway between Muthanna airport and Alawi, Baghdad","family vehicle hit by US convoy, mother and one-year-old son killed","collision with armoured vehicle","2","2","US DoD via ACLU Mar 2010"
"d5137","2 Jun 2007","2 Jun 2007","6:30 AM","Qayyarah-Sharqat Highway, near Jedda village, Mosul area","Hamed Ali Muhammed, ran across street in front of a patrol, struck by warning shot","US gunfire","1","1","US DoD via WikiLeaks 22 Oct 2010"
"k6597","1 Jun 2007","1 Jun 2007","8:20 AM","southeast of Falluja","men placing bombs in roadway, 3 children killed","US tank fire","3","3","AP 02 Jun, REU 02 Jun"
"k6598","1 Jun 2007","1 Jun 2007","7:30 PM","Um al-Maalif, Baghdad","-","mortar shells","10","12","AP 02 Jun, NINA 01 Jun, AFP 01 Jun, Al-Shar 02 Jun"
"k6599","1 Jun 2007","1 Jun 2007","9:30 PM","Daqooq, Kirkuk","Turkmen politician","gunfire","1","1","LAT 02 Jun, McCla 02 Jun"
"k6601","1 Jun 2007","1 Jun 2007","11:30 AM","Al Khadra, Baghdad","-","roadside bomb","1","1","McCla 01 Jun, REU 01 Jun"
"k6602","1 Jun 2007","1 Jun 2007","12:00 PM","Zuhour, Mosul","police patrol","gunfire","1","1","NINA 01 Jun, VOI 01 Jun"
"k6603","1 Jun 2007","1 Jun 2007","PM","Khalis","-","mortar round","1","1","NINA 01 Jun, VOI 01 Jun"
"k6604","1 Jun 2007","1 Jun 2007","12:00 PM","Saba Al Bour, northeast Baghdad","-","mortar round","1","1","McCla 01 Jun, VOI 01 Jun"
"k6605","1 Jun 2007","1 Jun 2007","-","Baquba","bodies  found shot, tortured","gunfire, executed, tortured","15","15","XIN 01 Jun, VOI 01 Jun"
"d3217","31 May 2007","1 Jun 2007","","Honey Street, Amariya, Baghdad","bystanders killed during clashes","crossfire","2","2","LAT 02 Jun, WP 05 Sep (MoH)"
"d3220","1 Jun 2007","1 Jun 2007","AM","Al Khubat district, north of Khalis","people seized and shot at a fake checkpoint","gunfire","7","7","NINA 01 Jun, NCTC 01 Jun"
"d3221","1 Jun 2007","1 Jun 2007","","Mahmudiya","residential area","mortar rounds","2","2","REU 01 Jun, NCTC 01 Jun, WP 05 Sep (MoH)"
"d3222","1 Jun 2007","1 Jun 2007","","Al Hurriyah neighborhood, Baghdad","","roadside bomb","3","3","McCla 01 Jun, NCTC 01 Jun, WP 05 Sep (MoH)"
"d3223","1 Jun 2007","1 Jun 2007","PM","Kirkuk","'car of the son of a former lawmaker', bodyguard killed","gunfire","1","1","VOI 01 Jun, NCTC 01 Jun, WP 05 Sep (MoH)"
"d3224","1 Jun 2007","1 Jun 2007","","Musalla area, 5km north of Kirkuk","body found","gunfire, tortured, executed","1","1","DPA 01 Jun, LAT 02 Jun"
"d3225","1 Jun 2007","1 Jun 2007","","Khalis","human heads found","found beheaded","3","3","VOI 01 Jun, WP 05 Sep (MoH)"
"d3226","31 May 2007","1 Jun 2007","","Kirkuk","bodies found","","11","14","LAT 02 Jun, WP 05 Sep (MoH)"
"d3565","1 Jun 2007","1 Jun 2007","","Awijiliya area, Al Shirqat","joint Iraqi security checkpoint","suicide truck bomb","0","3","REU 02 Jun, DPA 01 Jun"
"k6600a","1 Jun 2007","1 Jun 2007","-","Doura, Baghdad","bodies found shot dead","gunfire, executed","3","3","McCla 01 Jun, NINA 01 Jun"
"k6600b","1 Jun 2007","1 Jun 2007","-","Amil, Baghdad","bodies found shot dead","gunfire, executed","4","4","McCla 01 Jun, NINA 01 Jun"
"k6600c","1 Jun 2007","1 Jun 2007","-","Bayaa, Baghdad","bodies found shot dead","gunfire, executed","2","2","McCla 01 Jun, NINA 01 Jun"
"k6600d","1 Jun 2007","1 Jun 2007","-","Ghazaliyah, Baghdad","bodies found shot dead","gunfire, executed","1","1","McCla 01 Jun, NINA 01 Jun"
"k6600e","1 Jun 2007","1 Jun 2007","-","Saidiyah, Baghdad","bodies found shot dead","gunfire, executed","1","1","McCla 01 Jun, NINA 01 Jun"
"k6600f","1 Jun 2007","1 Jun 2007","-","New Baghdad","bodies found shot dead","gunfire, executed","1","1","McCla 01 Jun, NINA 01 Jun"
"k6600g","1 Jun 2007","1 Jun 2007","-","Hurriyah, Baghdad","bodies found shot dead","gunfire, executed","1","1","McCla 01 Jun, NINA 01 Jun"
"k6600h","1 Jun 2007","1 Jun 2007","-","Jihad, Baghdad","bodies found shot dead","gunfire, executed","2","2","McCla 01 Jun, NINA 01 Jun"
"d4498","1 Jun 2007","1 Jun 2007","11:00 AM","near Al-Muthana Police Station, Zeona, Baghdad","civilian vehicle crushed by a US tank driving on the wrong side of the road","crushed by military vehicle","1","1","US DoD via ACLU Mar 2010"
"d5725","1 Jun 2007","1 Jun 2007","1:35 AM","Route 1 and MSR Tampa, north of Samarra","'AIF located in a building', two children and one or two women killed","Hellfire missiles","3","4","US DoD via WikiLeaks 22 Oct 2010, IRIN 24 Jan 2007"
"k6590","31 May 2007","31 May 2007","-","Amiriyah, western Baghdad","Saif M. Fakhry, Associated Press television cameraman","gunfire","1","1","REU 31 May, DPA 01 Jun"
"k6592","31 May 2007","31 May 2007","11:00 AM-12:00 PM","Al-Shurta police station, Falluja","newly opened police recruiting centre","suicide bomber","24","30","AP 31 May, XIN 31 May, VOI 31 May, UNAMI 11 Oct"
"k6593","31 May 2007","31 May 2007","4:30 PM","near Ramadi","Iraqna mobile phone communications tower","suicide truck bomb","6","6","AP 31 May, WP 01 Jun"
"k6594","31 May 2007","31 May 2007","-","Mosul","bodies found","-","5","5","REU 31 May, AFP 31 May"
"k6595","31 May 2007","31 May 2007","AM","A'albiat orchards, Khalis","farmers","gunfire, executed","3","3","McCla 31 May, VOI 31 May"
"k6596","31 May 2007","31 May 2007","-","Tal Afar","-","Katyusha rockets","1","1","REU 31 May, KUNA 31 May"
"d3211","31 May 2007","31 May 2007","AM","Khalis","'civilian in the main marketplace'","gunfire","1","1","VOI 31 May, NCTC 31 May, WP 05 Sep (MoH)"
"d3212","31 May 2007","31 May 2007","AM","Basra","Dr. Muhammad Aziz, lecturer at the Fine Arts Academy in Basra","gunfire","1","1","McCla 31 May, NCTC 31 May, WP 05 Sep (MoH)"
"d3213","30 May 2007","31 May 2007","AM","Zubair district, west of Basra","body found of a servant at Usama bin Zaid mosque","kidnapped, executed","1","1","McCla 31 May, WP 05 Sep (MoH)"
"d3214","31 May 2007","31 May 2007","","Baquba","bodies found in a mass grave","","5","5","AP 31 May, WP 05 Sep (MoH)"
"d3215","31 May 2007","31 May 2007","","near Al Hussein compartments, Kirkuk","body found of Khalid Ez Al Deen","gunfire, executed","1","1","McCla 01 Jun, WP 05 Sep (MoH)"
"d3216","31 May 2007","31 May 2007","","Kirkuk","","bomb","1","1","AFP 31 May, WP 05 Sep (MoH)"
"d3460","1 May 2007","31 May 2007","","Basra province","additional murders in May 2007","","9","26","MoD via FOIA 29 Oct"
"k6591a","31 May 2007","31 May 2007","-","Amil, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","4","4","McCla 31 May, DPA 01 Jun"
"k6591b","31 May 2007","31 May 2007","-","Bayaa, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","4","4","McCla 31 May, DPA 01 Jun"
"k6591c","31 May 2007","31 May 2007","-","Doura, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","3","3","McCla 31 May, DPA 01 Jun"
"k6591d","31 May 2007","31 May 2007","-","Jihad, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","2","2","McCla 31 May, DPA 01 Jun"
"k6591e","31 May 2007","31 May 2007","-","Saidiya, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","2","2","McCla 31 May, DPA 01 Jun"
"k6591f","31 May 2007","31 May 2007","-","Hurriyah, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","2","2","McCla 31 May, DPA 01 Jun"
"k6591g","31 May 2007","31 May 2007","-","Jamiaa, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","1","1","McCla 31 May, DPA 01 Jun"
"k6591h","31 May 2007","31 May 2007","-","Yarmouk, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","1","1","McCla 31 May, DPA 01 Jun"
"k6591i","31 May 2007","31 May 2007","-","Fadhil, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","4","4","McCla 31 May, DPA 01 Jun"
"k6591j","31 May 2007","31 May 2007","-","Sadr City, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","2","2","McCla 31 May, DPA 01 Jun"
"k6591k","31 May 2007","31 May 2007","-","Ur, Baghdad","bodies found shot, tortured","gunfire, executed, tortured","2","2","McCla 31 May, DPA 01 Jun"
"k6591l","31 May 2007","31 May 2007","-","Baghdad","bodies found shot, tortured","gunfire, executed, tortured","2","2","McCla 31 May, DPA 01 Jun"
"k6579","30 May 2007","30 May 2007","11:00 AM","Amara","Voices of Iraq journalist Nazar Abdul Wahid al-Radhi and other journalists","drive-by shooting","1","1","DPA 30 May, NINA 30 May"
"k6580","30 May 2007","30 May 2007","10:00 AM","al-Jumhouria and al-Baath areas, Falluja","courthouse and residential area","mortar shells","5","7","REU 30 May, AFP 30 May, AP 30 May, Al-Shar 30 May"
"k6581","30 May 2007","30 May 2007","AM","Sukkar, Mosul","clashes between police and gunmen","gunfire","1","1","REU 30 May, NINA 30 May"
"k6582","30 May 2007","30 May 2007","PM","Tal Afar","-","Katusha rockets","1","1","NINA 30 May, REU 31 May"
"k6583","30 May 2007","30 May 2007","AM","Sadr City, Baghdad","2 elderly men sleeping on roof shot dead during US raid","US gunfire","2","2","GUA 31 May, LAT 31 May"
"k6584","30 May 2007","30 May 2007","AM","near Al-Khan, between Kirkuk and Hawija","convoy of local official","gunfire","1","1","McCla 30 May, AFP 30 May"
"k6585","30 May 2007","30 May 2007","9:30 AM","Hamza Sharqi, Diwaniya","motorcade of Col. Mustafa Al-Khuza'i, 'head of criminal intelligence department in Diwaniya '","roadside bombs","2","2","NINA 30 May, AFP 30 May"
"k6586","30 May 2007","30 May 2007","7:20 PM","Sadr City, Baghdad","-","car bomb","1","1","McCla 30 May, CNN 30 May"
"k6588","30 May 2007","30 May 2007","3:40 PM","Utefiya, north Baghdad","police Colonel Mohammed Shakir","gunfire","1","1","McCla 30 May, REU 30 May"
"k6589","30 May 2007","30 May 2007","3:30 PM","Al Mada'in","intelligence officer Brigadier General Ala'a Abdul Razzaq Qasim, 2 guards also killed","gunfire","3","3","McCla 30 May, REU 30 May"
"d3200","30 May 2007","30 May 2007","","Abu Shama'a village, Mahmudiya","","mortar rounds","3","3","REU 30 May, AP 31 May"
"d3201","30 May 2007","30 May 2007","PM","Al-Amil neighbourhood, SW Baghdad","Abu-Bakr al-Sidiq Mosque, during the evening prayers","mortar rounds","4","4","Al-Shar 30 May, AP 31 May"
"d3202","30 May 2007","30 May 2007","PM","Sadr City, eastern Baghdad","'fell near a bus'","mortar rounds","1","1","NINA 31 May, AP 31 May"
"d3203","30 May 2007","30 May 2007","4:15 PM","Al Rasheed market, south Baghdad","","mortar shell","1","1","McCla 30 May, AP 31 May"
"d3205","30 May 2007","30 May 2007","","Yathrib, near Balad","clashes between gunmen and US forces","crossfire","2","2","Al-Shar 30 May, AP 31 May"
"d3206","30 May 2007","30 May 2007","PM","Wihda district, north of Kut","police officers standing in plain clothes near a checkpoint","drive-by shooting","3","3","NINA 31 May, AP 31 May"
"d3207","30 May 2007","30 May 2007","","Al-Wahda district, south of Mosul","'a civilian was accidentally killed by US fire'","US gunfire","1","1","MO 30 May, AP 31 May"
"d3208","30 May 2007","30 May 2007","","Thawra neighbourhood, right side of Mosul","booby-trapped corpses found","","2","2","NINA 30 May, MO 30 May"
"d3209","30 May 2007","30 May 2007","","Karama neighbourhood, left side of Mosul","body of a young man found","gunfire","1","1","NINA 30 May, AP 31 May"
"d3210","30 May 2007","30 May 2007","","Bab Shams neighbourhood, left side of Mosul","random fire following a bomb explosion","police gunfire","1","1","NINA 30 May, AP 31 May"
"k6587a","30 May 2007","30 May 2007","-","Amil, Baghdad","bodies found shot dead","gunfire, executed","10","10","McCla 30 May, REU 30 May"
"k6587b","30 May 2007","30 May 2007","-","Doura, Baghdad","bodies found shot dead","gunfire, executed","3","3","McCla 30 May, REU 30 May"
"k6587c","30 May 2007","30 May 2007","-","Bayaa, Baghdad","bodies found shot dead","gunfire, executed","3","3","McCla 30 May, REU 30 May"
"k6587d","30 May 2007","30 May 2007","-","Mansour, Baghdad","bodies found shot dead","gunfire, executed","2","2","McCla 30 May, REU 30 May"
"k6587e","30 May 2007","30 May 2007","-","Kadhimiyah, Baghdad","bodies found shot dead","gunfire, executed","1","1","McCla 30 May, REU 30 May"
"k6587f","30 May 2007","30 May 2007","-","Shalchiyah, Baghdad","bodies found shot dead","gunfire, executed","1","1","McCla 30 May, REU 30 May"
"k6587g","30 May 2007","30 May 2007","-","Ali Al Salih, Baghdad","bodies found shot dead","gunfire, executed","1","1","McCla 30 May, REU 30 May"
"k6587h","30 May 2007","30 May 2007","-","Sadr City, Baghdad","bodies found shot dead","gunfire, executed","2","2","McCla 30 May, REU 30 May"
"k6587i","30 May 2007","30 May 2007","-","Baghdad","bodies found shot dead","gunfire","2","2","WP 31 May, WP 05 Sep (MoH)"
"k6569","29 May 2007","29 May 2007","-","Shirqat","police patrol","gunfire or bomb","2","2","REU 29 May, VOI 29 May"
"k6570","29 May 2007","29 May 2007","-","Al-Mualimin, Suwayra, in Tigris","bodies  found shot, tortured,two beheaded","gunfire, executed, tortured, beheaded","5","5","NINA 29 May, VOI 29 May"
"k6571","29 May 2007","29 May 2007","-","Baquba","bodies  found shot, tortured","gunfire, executed, tortured","21","21","REU 29 May, DPA 29 May"
"k6573","29 May 2007","29 May 2007","PM","Hasawiya, near Muqdadiya","-","gunfire","4","4","NINA 29 May, McCla 30 May"
"k6574","29 May 2007","29 May 2007","2:30 PM","Khaloof, Diyala","-","roadside bomb","1","1","NYT 30 May, McCla 30 May"
"k6575","28 May 2007","29 May 2007","overnight","Amiriyat al-Falluja","journalist Abdul-Rahman Al-Esawi and relatives","gunfire","7","8","VOI 30 May, AFP 30 May, LAT 31 May, AP 30 May"
"k6577","29 May 2007","29 May 2007","1:50 - 2:30 PM","Hay Amil, Baghdad","Al-Aimah mosque","car or truck bomb","25","25","VOI 29 May, IMN 30 May"
"k6578","29 May 2007","29 May 2007","1:30 PM","Tayaran Square, Baghdad","security checkpoint","bomb in minibus","22","24","KUNA 29 May, IMN 30 May, IND 30 May, WP 30 May"
"d3191","29 May 2007","29 May 2007","12:00 PM","Tahreer neighborhood, south of Baquba","","mortar rounds","3","3","McCla 30 May, NCTC 29 May, WP 05 Sep (MoH)"
"d3192","29 May 2007","29 May 2007","12:00 PM","near Arousa roundabout, central Basra","'gunmen opened fire on a father and his son'","gunfire","2","2","McCla 30 May, NCTC 29 May, WP 05 Sep (MoH)"
"d3193","29 May 2007","29 May 2007","AM","Al Faisaliyah neighborhood, Mosul","","gunfire","2","2","McCla 30 May, NCTC 29 May, WP 05 Sep (MoH)"
"d3194","29 May 2007","29 May 2007","","south Toz, north east Tikrit","bodies found","","2","2","McCla 30 May, WP 05 Sep (MoH)"
"d3196","29 May 2007","29 May 2007","","Balad","body found","gunfire","1","1","VOI 29 May, WP 05 Sep (MoH)"
"d3197","29 May 2007","29 May 2007","","Aswad village, Wajihiya","two brothers","gunfire","1","1","NINA 29 May, WP 05 Sep (MoH)"
"d3198","29 May 2007","29 May 2007","","Tahreer area, southeastern Baquba","bodies found","tortured, executed","14","14","NINA 29 May, AP 29 May"
"k6576a","29 May 2007","29 May 2007","-","Hurriya, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","3","3","IND 30 May, WP 30 May"
"k6576b","29 May 2007","29 May 2007","-","Jamiaa, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","3","3","IND 30 May, WP 30 May"
"k6576c","29 May 2007","29 May 2007","-","Amil, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","3","3","IND 30 May, WP 30 May"
"k6576d","29 May 2007","29 May 2007","-","Doura, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","3","3","IND 30 May, WP 30 May"
"k6576e","29 May 2007","29 May 2007","-","Jihad, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","2","2","IND 30 May, WP 30 May"
"k6576f","29 May 2007","29 May 2007","-","Saidiya, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","2","2","IND 30 May, WP 30 May"
"k6576g","29 May 2007","29 May 2007","-","Ameriya, Baghdad","bodies  found shot, tortured","gunfire, tortured, executed","2","2","IND 30 May, WP 30 May"
"k6576h","29 May 2007","29 May 2007","-","Shalchiya, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","2","2","IND 30 May, WP 30 May"
"k6576i","29 May 2007","29 May 2007","-","Ur, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","3","3","IND 30 May, WP 30 May"
"k6576j","29 May 2007","29 May 2007","-","Sadr City, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","2","2","IND 30 May, WP 30 May"
"k6576k","29 May 2007","29 May 2007","-","Ubaidi, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","2","2","IND 30 May, WP 30 May"
"k6576l","29 May 2007","29 May 2007","-","Sheikh Umar, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","1","1","IND 30 May, WP 30 May"
"k6576m","29 May 2007","29 May 2007","-","Adhamiya, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","1","1","IND 30 May, WP 30 May"
"k6576n","29 May 2007","29 May 2007","-","Palestine Street, Baghdad","bodies found shot, tortured","gunfire, tortured, executed","1","1","IND 30 May, WP 30 May"
"k6576o","29 May 2007","29 May 2007","-","Baghdad","bodies found shot, tortured","gunfire, tortured, executed","2","2","IND 30 May, WP 30 May"
"k6576p","29 May 2007","29 May 2007","-","Baghdad","bodies found","","1","1","IND 30 May, WP 05 Sep (MoH)"
"k15823","29 May 2007","29 May 2007","6:00 PM","near Al Aamir farms, west Baghdad","policeman Tahreer Lafta Ubaid","gunfire","1","1","UPD 269:921"
"k6555","28 May 2007","28 May 2007","9:30 PM","Al-Musalla, northern Kirkuk","'Mahmoud Hakim Mustafa, the editor-in-chief of Hawadith weekly newspaper'","drive-by shooting","1","1","VOI 29 May, McCla 29 May"
"k6556","28 May 2007","28 May 2007","9:00 PM","Zaafaraniya, Baghdad","-","car bomb","3","5","REU 28 May, NINA 28 May, KUNA 28 May, NCTC 28 May"
"k6557","28 May 2007","28 May 2007","-","Uwaireeg, south of Baghdad","bodies  found shot, tortured","gunfire, executed, tortured","12","12","REU 28 May, CNN 28 May"
"k6558","28 May 2007","28 May 2007","-","Baghdad","bodies  found shot dead","gunfire, executed","33","33","REU 28 May, LAT 29 May"
"k6559","28 May 2007","28 May 2007","PM","al-Jumhuriya, Basra","police Capt. Munther Rahim","drive-by shooting","1","1","AP 28 May, VOI 29 May"
"k6560","28 May 2007","28 May 2007","PM","central Mosul","booby-trapped car with 2 corpses inside or suicide car bomb","car bomb, possibly suicide","4","4","NINA 28 May, VOI 29 May"
"k6561","28 May 2007","28 May 2007","2:00 PM","near Al-Ghailani mosque, Sinak, Baghdad","al-Ghailani Sunni mosque","truck bomb","16","24","DPA 28 May, VOI 29 May, REU 28 May, NINA 28 May"
